1.0
DISPOSAL - DRILLED
OP_2 461809.590 5932990.360 0.0000
1
4.618095900000000256e+05 5.932990360000000335e+06 3.794172444294459012e+01 -9.990000000000000000e+02
4.618094490000000224e+05 5.932990601999999955e+06 3.794360067721369489e+01 -9.990000000000000000e+02
4.618093080000000191e+05 5.932990843999999575e+06 3.793763016190064263e+01 -9.990000000000000000e+02
4.618091670000000158e+05 5.932991086000000127e+06 3.792381406206730787e+01 -9.990000000000000000e+02
4.618090260000000126e+05 5.932991327999999747e+06 3.790245516863823383e+01 -9.990000000000000000e+02
4.618088850000000093e+05 5.932991570000000298e+06 3.787355788128649436e+01 -9.990000000000000000e+02
4.618087440000000061e+05 5.932991811999999918e+06 3.783722817052930054e+01 -9.990000000000000000e+02
4.618086030000000028e+05 5.932992053999999538e+06 3.779357355915437466e+01 -9.990000000000000000e+02
4.618084619999999995e+05 5.932992296000000089e+06 3.774260311865752016e+01 -9.990000000000000000e+02
4.618083209999999963e+05 5.932992537999999709e+06 3.768462742141182531e+01 -9.990000000000000000e+02
4.618081799999999930e+05 5.932992780000000261e+06 3.761965852337687721e+01 -9.990000000000000000e+02
4.618080389999999898e+05 5.932993021999999881e+06 3.754780995813224820e+01 -9.990000000000000000e+02
4.618078979999999865e+05 5.932993264000000432e+06 3.746919669368722339e+01 -9.990000000000000000e+02
4.618077569999999832e+05 5.932993506000000052e+06 3.738383511709159279e+01 -9.990000000000000000e+02
4.618076159999999800e+05 5.932993747999999672e+06 3.729204299868550265e+01 -9.990000000000000000e+02
4.618074749999999767e+05 5.932993990000000224e+06 3.719383948087727276e+01 -9.990000000000000000e+02
4.618073339999999735e+05 5.932994231999999844e+06 3.708924506521443476e+01 -9.990000000000000000e+02
4.618071930000000284e+05 5.932994474000000395e+06 3.697858154761757277e+01 -9.990000000000000000e+02
4.618070520000000251e+05 5.932994716000000015e+06 3.686187202044156663e+01 -9.990000000000000000e+02
4.618069110000000219e+05 5.932994957999999635e+06 3.673924086149408907e+01 -9.990000000000000000e+02
4.618067700000000186e+05 5.932995200000000186e+06 3.661071365508888675e+01 -9.990000000000000000e+02
4.618066290000000154e+05 5.932995441999999806e+06 3.647661723821718027e+01 -9.990000000000000000e+02
4.618064880000000121e+05 5.932995684000000358e+06 3.633697960353636347e+01 -9.990000000000000000e+02
4.618063470000000088e+05 5.932995925999999978e+06 3.619182992138335919e+01 -9.990000000000000000e+02
4.618062060000000056e+05 5.932996167999999598e+06 3.604149848560917491e+01 -9.990000000000000000e+02
4.618060650000000023e+05 5.932996410000000149e+06 3.588591670886094676e+01 -9.990000000000000000e+02
4.618059239999999991e+05 5.932996651999999769e+06 3.572541706725148458e+01 -9.990000000000000000e+02
4.618057829999999958e+05 5.932996894000000320e+06 3.555993310314077149e+01 -9.990000000000000000e+02
4.618056419999999925e+05 5.932997135999999940e+06 3.538979936378676427e+01 -9.990000000000000000e+02
4.618055009999999893e+05 5.932997377999999560e+06 3.521505141723342547e+01 -9.990000000000000000e+02
4.618053599999999860e+05 5.932997620000000112e+06 3.503572576391180604e+01 -9.990000000000000000e+02
4.618052189999999828e+05 5.932997861999999732e+06 3.485205987087810797e+01 -9.990000000000000000e+02
4.618050779999999795e+05 5.932998104000000283e+06 3.466429210374234771e+01 -9.990000000000000000e+02
4.618049369999999763e+05 5.932998345999999903e+06 3.447236170814051093e+01 -9.990000000000000000e+02
4.618047959999999730e+05 5.932998588000000454e+06 3.427660877514389881e+01 -9.990000000000000000e+02
4.618046550000000279e+05 5.932998830000000075e+06 3.407697423087135036e+01 -9.990000000000000000e+02
4.618045140000000247e+05 5.932999071999999695e+06 3.387369977717079195e+01 -9.990000000000000000e+02
4.618043730000000214e+05 5.932999314000000246e+06 3.366702788908021660e+01 -9.990000000000000000e+02
4.618042320000000182e+05 5.932999555999999866e+06 3.345690177973012425e+01 -9.990000000000000000e+02
4.618040910000000149e+05 5.932999798000000417e+06 3.324356533986056661e+01 -9.990000000000000000e+02
4.618039500000000116e+05 5.933000040000000037e+06 3.302726316861084399e+01 -9.990000000000000000e+02
4.618038090000000084e+05 5.933000281999999657e+06 3.280794047386028467e+01 -9.990000000000000000e+02
4.618036680000000051e+05 5.933000524000000209e+06 3.258584308619652603e+01 -9.990000000000000000e+02
4.618035260000000126e+05 5.933000765999999829e+06 3.236135428806198178e+01 -9.990000000000000000e+02
4.618033850000000093e+05 5.933001008000000380e+06 3.213414813399208469e+01 -9.990000000000000000e+02
4.618032440000000061e+05 5.933001250000000000e+06 3.190460811570598310e+01 -9.990000000000000000e+02
4.618031030000000028e+05 5.933001491999999620e+06 3.167288219807170080e+01 -9.990000000000000000e+02
4.618029619999999995e+05 5.933001734000000171e+06 3.143911880939359094e+01 -9.990000000000000000e+02
4.618028209999999963e+05 5.933001975999999791e+06 3.120346681615667706e+01 -9.990000000000000000e+02
4.618026799999999930e+05 5.933002218000000343e+06 3.096607546322422877e+01 -9.990000000000000000e+02
4.618025389999999898e+05 5.933002459999999963e+06 3.072709437697113444e+01 -9.990000000000000000e+02
4.618023979999999865e+05 5.933002701999999583e+06 3.048667349947286453e+01 -9.990000000000000000e+02
4.618022569999999832e+05 5.933002944000000134e+06 3.024496308586727622e+01 -9.990000000000000000e+02
4.618021159999999800e+05 5.933003185999999754e+06 3.000211366719560502e+01 -9.990000000000000000e+02
4.618019749999999767e+05 5.933003428000000305e+06 2.975817598989803159e+01 -9.990000000000000000e+02
4.618018339999999735e+05 5.933003669999999925e+06 2.951350103056451246e+01 -9.990000000000000000e+02
4.618016930000000284e+05 5.933003911999999546e+06 2.926813993247318635e+01 -9.990000000000000000e+02
4.618015520000000251e+05 5.933004154000000097e+06 2.902214397388988587e+01 -9.990000000000000000e+02
4.618014110000000219e+05 5.933004395999999717e+06 2.877586457128096598e+01 -9.990000000000000000e+02
4.618012700000000186e+05 5.933004638000000268e+06 2.852925318653551656e+01 -9.990000000000000000e+02
4.618011290000000154e+05 5.933004879999999888e+06 2.828266135631937672e+01 -9.990000000000000000e+02
4.618009880000000121e+05 5.933005122000000440e+06 2.803604062252357565e+01 -9.990000000000000000e+02
4.618008470000000088e+05 5.933005364000000060e+06 2.778974251507403892e+01 -9.990000000000000000e+02
4.618007060000000056e+05 5.933005606999999844e+06 2.754059035256971555e+01 -9.990000000000000000e+02
4.618005650000000023e+05 5.933005849000000395e+06 2.729509447604663919e+01 -9.990000000000000000e+02
4.618004239999999991e+05 5.933006091000000015e+06 2.705037607239589903e+01 -9.990000000000000000e+02
4.618002829999999958e+05 5.933006332999999635e+06 2.680638628251229960e+01 -9.990000000000000000e+02
4.618001410000000033e+05 5.933006575000000186e+06 2.656361845206293282e+01 -9.990000000000000000e+02
4.618000000000000000e+05 5.933006816999999806e+06 2.632173822114019401e+01 -9.990000000000000000e+02
4.617998589999999967e+05 5.933007059000000358e+06 2.608113884616746248e+01 -9.990000000000000000e+02
4.617997179999999935e+05 5.933007300999999978e+06 2.584197059898747284e+01 -9.990000000000000000e+02
4.617995769999999902e+05 5.933007542999999598e+06 2.560438344883457518e+01 -9.990000000000000000e+02
4.617994359999999870e+05 5.933007785000000149e+06 2.536852702523012226e+01 -9.990000000000000000e+02
4.617992949999999837e+05 5.933008026999999769e+06 2.513455061816861402e+01 -9.990000000000000000e+02
4.617991539999999804e+05 5.933008269000000320e+06 2.490260309813859863e+01 -9.990000000000000000e+02
4.617990129999999772e+05 5.933008510999999940e+06 2.467283292788509641e+01 -9.990000000000000000e+02
4.617988719999999739e+05 5.933008752999999560e+06 2.444528811125540813e+01 -9.990000000000000000e+02
4.617987310000000289e+05 5.933008995000000112e+06 2.422031615097058221e+01 -9.990000000000000000e+02
4.617985900000000256e+05 5.933009236999999732e+06 2.399796405167975166e+01 -9.990000000000000000e+02
4.617984490000000224e+05 5.933009479000000283e+06 2.377827826084210017e+01 -9.990000000000000000e+02
4.617983080000000191e+05 5.933009720999999903e+06 2.356160464100172192e+01 -9.990000000000000000e+02
4.617981660000000265e+05 5.933009963999999687e+06 2.334513849998353763e+01 -9.990000000000000000e+02
4.617980250000000233e+05 5.933010206000000238e+06 2.313463743524546601e+01 -9.990000000000000000e+02
4.617978840000000200e+05 5.933010447999999858e+06 2.292758294923508799e+01 -9.990000000000000000e+02
4.617977430000000168e+05 5.933010690000000410e+06 2.272391826643655577e+01 -9.990000000000000000e+02
4.617976020000000135e+05 5.933010932000000030e+06 2.252388591887547520e+01 -9.990000000000000000e+02
4.617974610000000102e+05 5.933011173999999650e+06 2.232762765314468467e+01 -9.990000000000000000e+02
4.617973200000000070e+05 5.933011416000000201e+06 2.213528442554767039e+01 -9.990000000000000000e+02
