1.0
DISPOSAL - DRILLED
OP_4 461809.590 5932990.360 0.0000
1
4.618095900000000256e+05 5.932990360000000335e+06 3.794172444294459012e+01 -9.990000000000000000e+02
4.618094920000000275e+05 5.932990440000000410e+06 3.831410375659627476e+01 -9.990000000000000000e+02
4.618093950000000186e+05 5.932990519000000320e+06 3.868760714623343944e+01 -9.990000000000000000e+02
4.618092970000000205e+05 5.932990599000000395e+06 3.905844580146634115e+01 -9.990000000000000000e+02
4.618091990000000224e+05 5.932990678999999538e+06 3.942851377267172808e+01 -9.990000000000000000e+02
4.618091010000000242e+05 5.932990758000000380e+06 3.979990718488129176e+01 -9.990000000000000000e+02
4.618090040000000154e+05 5.932990838000000454e+06 4.016828987865562084e+01 -9.990000000000000000e+02
4.618089060000000172e+05 5.932990917999999598e+06 4.053597407501152361e+01 -9.990000000000000000e+02
4.618088080000000191e+05 5.932990997000000440e+06 4.090512439726156657e+01 -9.990000000000000000e+02
4.618087110000000102e+05 5.932991076999999583e+06 4.127123944891056340e+01 -9.990000000000000000e+02
4.618086130000000121e+05 5.932991156999999657e+06 4.163676786265902763e+01 -9.990000000000000000e+02
4.618085150000000140e+05 5.932991235999999568e+06 4.200370283660191717e+01 -9.990000000000000000e+02
4.618084170000000158e+05 5.932991315999999642e+06 4.236774710905901742e+01 -9.990000000000000000e+02
4.618083200000000070e+05 5.932991395999999717e+06 4.273087957571520690e+01 -9.990000000000000000e+02
4.618082220000000088e+05 5.932991474999999627e+06 4.309562735144174184e+01 -9.990000000000000000e+02
4.618081240000000107e+05 5.932991554999999702e+06 4.345736335109095450e+01 -9.990000000000000000e+02
4.618080260000000126e+05 5.932991634999999776e+06 4.381846660461656029e+01 -9.990000000000000000e+02
4.618079290000000037e+05 5.932991713999999687e+06 4.418088400260309356e+01 -9.990000000000000000e+02
4.618078310000000056e+05 5.932991793999999762e+06 4.454054081468720483e+01 -9.990000000000000000e+02
4.618077330000000075e+05 5.932991873999999836e+06 4.489937470122717400e+01 -9.990000000000000000e+02
4.618076359999999986e+05 5.932991952999999747e+06 4.525966006563054123e+01 -9.990000000000000000e+02
4.618075380000000005e+05 5.932992032999999821e+06 4.561716717317196412e+01 -9.990000000000000000e+02
4.618074400000000023e+05 5.932992112999999896e+06 4.597386131246020824e+01 -9.990000000000000000e+02
4.618073420000000042e+05 5.932992191999999806e+06 4.633222109184254833e+01 -9.990000000000000000e+02
4.618072449999999953e+05 5.932992271999999881e+06 4.668733127469553068e+01 -9.990000000000000000e+02
4.618071469999999972e+05 5.932992351999999955e+06 4.704201567061149092e+01 -9.990000000000000000e+02
4.618070489999999991e+05 5.932992432000000030e+06 4.739590058796646588e+01 -9.990000000000000000e+02
4.618069510000000009e+05 5.932992510999999940e+06 4.775150323551281417e+01 -9.990000000000000000e+02
4.618068539999999921e+05 5.932992591000000015e+06 4.810382819022096612e+01 -9.990000000000000000e+02
4.618067559999999939e+05 5.932992671000000089e+06 4.845574401677394860e+01 -9.990000000000000000e+02
4.618066579999999958e+05 5.932992750000000000e+06 4.880921625247742668e+01 -9.990000000000000000e+02
4.618065599999999977e+05 5.932992830000000075e+06 4.915967345594749816e+01 -9.990000000000000000e+02
4.618064629999999888e+05 5.932992910000000149e+06 4.950936806089576692e+01 -9.990000000000000000e+02
4.618063649999999907e+05 5.932992989000000060e+06 4.986084048388660506e+01 -9.990000000000000000e+02
4.618062669999999925e+05 5.932993069000000134e+06 5.020928024558537572e+01 -9.990000000000000000e+02
4.618061689999999944e+05 5.932993149000000209e+06 5.055705168781275916e+01 -9.990000000000000000e+02
4.618060719999999856e+05 5.932993228000000119e+06 5.090636934493173982e+01 -9.990000000000000000e+02
4.618059739999999874e+05 5.932993308000000194e+06 5.125282319138122489e+01 -9.990000000000000000e+02
4.618058759999999893e+05 5.932993388000000268e+06 5.159861934930290772e+01 -9.990000000000000000e+02
4.618057779999999912e+05 5.932993468000000343e+06 5.194376139850148633e+01 -9.990000000000000000e+02
4.618056799999999930e+05 5.932993547000000253e+06 5.229068659981449230e+01 -9.990000000000000000e+02
4.618055829999999842e+05 5.932993627000000328e+06 5.263435005069968042e+01 -9.990000000000000000e+02
4.618054849999999860e+05 5.932993707000000402e+06 5.297755961857807705e+01 -9.990000000000000000e+02
4.618053869999999879e+05 5.932993786000000313e+06 5.332258964349017560e+01 -9.990000000000000000e+02
4.618052889999999898e+05 5.932993866000000387e+06 5.366443228115495856e+01 -9.990000000000000000e+02
4.618051909999999916e+05 5.932993946000000462e+06 5.400574252290181221e+01 -9.990000000000000000e+02
4.618050939999999828e+05 5.932994025999999605e+06 5.434613051743789924e+01 -9.990000000000000000e+02
4.618049959999999846e+05 5.932994105000000447e+06 5.468868109386433218e+01 -9.990000000000000000e+02
4.618048979999999865e+05 5.932994184999999590e+06 5.502802414485535110e+01 -9.990000000000000000e+02
4.618047999999999884e+05 5.932994264999999665e+06 5.536684953548817134e+01 -9.990000000000000000e+02
4.618047019999999902e+05 5.932994344999999739e+06 5.570496099555359137e+01 -9.990000000000000000e+02
4.618046049999999814e+05 5.932994423999999650e+06 5.604479404207637572e+01 -9.990000000000000000e+02
4.618045069999999832e+05 5.932994503999999724e+06 5.638169659127858324e+01 -9.990000000000000000e+02
4.618044089999999851e+05 5.932994583999999799e+06 5.671809643138432477e+01 -9.990000000000000000e+02
