1.0
DISPOSAL - DRILLED
OP_6 461809.590 5932990.360 0.0000
1
4.618095900000000256e+05 5.932990360000000335e+06 3.794172444294459012e+01 -9.990000000000000000e+02
4.618095900000000256e+05 5.932990360000000335e+06 3.844172444294459012e+01 -9.990000000000000000e+02
4.618095900000000256e+05 5.932990360000000335e+06 3.894172444294459012e+01 -9.990000000000000000e+02
4.618095910000000149e+05 5.932990360000000335e+06 3.944156565775668355e+01 -9.990000000000000000e+02
4.618095910000000149e+05 5.932990360000000335e+06 3.994156565775668355e+01 -9.990000000000000000e+02
4.618095920000000042e+05 5.932990360000000335e+06 4.044140687735318807e+01 -9.990000000000000000e+02
4.618095929999999935e+05 5.932990360000000335e+06 4.094124809415215083e+01 -9.990000000000000000e+02
4.618095939999999828e+05 5.932990360000000335e+06 4.144108931194460155e+01 -9.990000000000000000e+02
4.618095960000000196e+05 5.932990360000000335e+06 4.194077174292789323e+01 -9.990000000000000000e+02
4.618095970000000088e+05 5.932990360000000335e+06 4.244061295422316249e+01 -9.990000000000000000e+02
4.618095989999999874e+05 5.932990360999999568e+06 4.293825530527591638e+01 -9.990000000000000000e+02
4.618096010000000242e+05 5.932990360999999568e+06 4.343793770027139090e+01 -9.990000000000000000e+02
4.618096030000000028e+05 5.932990360999999568e+06 4.393762009545049096e+01 -9.990000000000000000e+02
4.618096049999999814e+05 5.932990360999999568e+06 4.443730248323022636e+01 -9.990000000000000000e+02
4.618096070000000182e+05 5.932990360999999568e+06 4.493698487119372942e+01 -9.990000000000000000e+02
4.618096099999999860e+05 5.932990360999999568e+06 4.543650844353073381e+01 -9.990000000000000000e+02
4.618096120000000228e+05 5.932990360999999568e+06 4.593619082247492713e+01 -9.990000000000000000e+02
4.618096149999999907e+05 5.932990361999999732e+06 4.643367397060203672e+01 -9.990000000000000000e+02
4.618096180000000168e+05 5.932990361999999732e+06 4.693309748842882811e+01 -9.990000000000000000e+02
4.618096209999999846e+05 5.932990361999999732e+06 4.743262099624291750e+01 -9.990000000000000000e+02
4.618096250000000000e+05 5.932990361999999732e+06 4.793198566070259403e+01 -9.990000000000000000e+02
4.618096280000000261e+05 5.932990361999999732e+06 4.843150915147431590e+01 -9.990000000000000000e+02
4.618096319999999832e+05 5.932990362999999896e+06 4.892883303798282668e+01 -9.990000000000000000e+02
4.618096359999999986e+05 5.932990362999999896e+06 4.942819761642184062e+01 -9.990000000000000000e+02
4.618096400000000140e+05 5.932990362999999896e+06 4.992756218232948129e+01 -9.990000000000000000e+02
4.618096439999999711e+05 5.932990362999999896e+06 5.042682673191318088e+01 -9.990000000000000000e+02
4.618096489999999758e+05 5.932990364000000060e+06 5.092399129823966319e+01 -9.990000000000000000e+02
4.618096529999999912e+05 5.932990364000000060e+06 5.142335577092381982e+01 -9.990000000000000000e+02
4.618096579999999958e+05 5.932990364000000060e+06 5.192256134101843656e+01 -9.990000000000000000e+02
4.618096630000000005e+05 5.932990364000000060e+06 5.242176688667619544e+01 -9.990000000000000000e+02
4.618096680000000051e+05 5.932990365000000224e+06 5.291883093864274201e+01 -9.990000000000000000e+02
4.618096739999999991e+05 5.932990365000000224e+06 5.341787746903662537e+01 -9.990000000000000000e+02
4.618096790000000037e+05 5.932990365000000224e+06 5.391708288465947874e+01 -9.990000000000000000e+02
4.618096849999999977e+05 5.932990366000000387e+06 5.441398753872454108e+01 -9.990000000000000000e+02
4.618096909999999916e+05 5.932990366000000387e+06 5.491303390768381121e+01 -9.990000000000000000e+02
4.618096969999999856e+05 5.932990366999999620e+06 5.541003814152194451e+01 -9.990000000000000000e+02
4.618097029999999795e+05 5.932990366999999620e+06 5.590898437420790401e+01 -9.990000000000000000e+02
4.618097089999999735e+05 5.932990366999999620e+06 5.640803057634518325e+01 -9.990000000000000000e+02
4.618097160000000149e+05 5.932990367999999784e+06 5.690477529942081958e+01 -9.990000000000000000e+02
4.618097220000000088e+05 5.932990367999999784e+06 5.740382135989472800e+01 -9.990000000000000000e+02
4.618097289999999921e+05 5.932990368999999948e+06 5.790066561687223157e+01 -9.990000000000000000e+02
4.618097359999999753e+05 5.932990368999999948e+06 5.839945252502550943e+01 -9.990000000000000000e+02
4.618097440000000061e+05 5.932990368999999948e+06 5.889808036355340448e+01 -9.990000000000000000e+02
4.618097509999999893e+05 5.932990370000000112e+06 5.939492400113181247e+01 -9.990000000000000000e+02
4.618097590000000200e+05 5.932990370000000112e+06 5.989355163703861251e+01 -9.990000000000000000e+02
4.618097660000000033e+05 5.932990371000000276e+06 6.039039477477347617e+01 -9.990000000000000000e+02
4.618097739999999758e+05 5.932990371000000276e+06 6.088902221187981922e+01 -9.990000000000000000e+02
4.618097820000000065e+05 5.932990372000000440e+06 6.138560575729774627e+01 -9.990000000000000000e+02
4.618097910000000265e+05 5.932990372000000440e+06 6.188417388778427863e+01 -9.990000000000000000e+02
4.618097989999999991e+05 5.932990372999999672e+06 6.238075687653717694e+01 -9.990000000000000000e+02
4.618098080000000191e+05 5.932990372999999672e+06 6.287922476318116338e+01 -9.990000000000000000e+02
4.618098169999999809e+05 5.932990373999999836e+06 6.337574804434658660e+01 -9.990000000000000000e+02
4.618098260000000009e+05 5.932990373999999836e+06 6.387421568097303748e+01 -9.990000000000000000e+02
4.618098350000000210e+05 5.932990375000000000e+06 6.437063834956660457e+01 -9.990000000000000000e+02
4.618098439999999828e+05 5.932990376000000164e+06 6.486706059219683596e+01 -9.990000000000000000e+02
4.618098530000000028e+05 5.932990376000000164e+06 6.536552780370850257e+01 -9.990000000000000000e+02
4.618098630000000121e+05 5.932990377000000328e+06 6.586179021628900898e+01 -9.990000000000000000e+02
4.618098730000000214e+05 5.932990377000000328e+06 6.636009793745530772e+01 -9.990000000000000000e+02
4.618098829999999725e+05 5.932990377999999560e+06 6.685635967447986161e+01 -9.990000000000000000e+02
4.618098929999999818e+05 5.932990378999999724e+06 6.735262094166915858e+01 -9.990000000000000000e+02
4.618099039999999804e+05 5.932990378999999724e+06 6.785076887439986137e+01 -9.990000000000000000e+02
4.618099139999999898e+05 5.932990379999999888e+06 6.834702944753234988e+01 -9.990000000000000000e+02
4.618099249999999884e+05 5.932990379999999888e+06 6.884517704521169890e+01 -9.990000000000000000e+02
4.618099349999999977e+05 5.932990379999999888e+06 6.934348385961388317e+01 -9.990000000000000000e+02
4.618099459999999963e+05 5.932990379999999888e+06 6.984163124943978573e+01 -9.990000000000000000e+02
4.618099560000000056e+05 5.932990379999999888e+06 7.033993787679501963e+01 -9.990000000000000000e+02
4.618099670000000042e+05 5.932990379999999888e+06 7.083798505878594653e+01 -9.990000000000000000e+02
4.618099770000000135e+05 5.932990378999999724e+06 7.133833877130402357e+01 -9.990000000000000000e+02
4.618099880000000121e+05 5.932990378999999724e+06 7.183648587641766881e+01 -9.990000000000000000e+02
4.618099980000000214e+05 5.932990377999999560e+06 7.233683960981919370e+01 -9.990000000000000000e+02
4.618100090000000200e+05 5.932990377000000328e+06 7.283703397932382018e+01 -9.990000000000000000e+02
4.618100200000000186e+05 5.932990376000000164e+06 7.333722834766089704e+01 -9.990000000000000000e+02
4.618100310000000172e+05 5.932990373999999836e+06 7.383946986871004015e+01 -9.990000000000000000e+02
4.618100410000000265e+05 5.932990372999999672e+06 7.433972354771275093e+01 -9.990000000000000000e+02
4.618100520000000251e+05 5.932990371000000276e+06 7.484196483494338281e+01 -9.990000000000000000e+02
4.618100630000000237e+05 5.932990368999999948e+06 7.534420593169134861e+01 -9.990000000000000000e+02
4.618100740000000224e+05 5.932990366999999620e+06 7.584644683414036592e+01 -9.990000000000000000e+02
4.618100839999999735e+05 5.932990365000000224e+06 7.634884682284240398e+01 -9.990000000000000000e+02
4.618100949999999721e+05 5.932990362999999896e+06 7.685098732533450061e+01 -9.990000000000000000e+02
4.618101060000000289e+05 5.932990360000000335e+06 7.735527357126555614e+01 -9.990000000000000000e+02
4.618101170000000275e+05 5.932990356999999844e+06 7.785955914012751578e+01 -9.990000000000000000e+02
4.618101280000000261e+05 5.932990354000000283e+06 7.836384402423685458e+01 -9.990000000000000000e+02
4.618101390000000247e+05 5.932990350999999791e+06 7.886802822351538111e+01 -9.990000000000000000e+02
4.618101500000000233e+05 5.932990348000000231e+06 7.937231174168459802e+01 -9.990000000000000000e+02
4.618101610000000219e+05 5.932990344999999739e+06 7.987659457866459434e+01 -9.990000000000000000e+02
4.618101720000000205e+05 5.932990341000000015e+06 8.038282061384266797e+01 -9.990000000000000000e+02
