Well,Zone,Correct,Incorrect,< 1.0,> 1.0,Undef,Avg miss,Correct
OP_1,Zone0,2231.0,0.0,0.0,0.0,0.0,-,100.0%
OP_1,Zone1,14.2,0.6,0.6,0.0,0.0,0.0,96.0%
OP_1,Zone2,14.0,0.0,0.0,0.0,0.0,-,100.0%
OP_1,Zone3,11.5,0.5,0.5,0.0,0.0,0.0,95.8%
OP_1,Zone4,10.5,0.0,0.0,0.0,0.0,-,100.0%
OP_2,Zone0,3857.3,0.0,0.0,0.0,0.0,-,100.0%
OP_2,Zone1,16.0,0.0,0.0,0.0,0.0,-,100.0%
OP_2,Zone2,15.8,0.0,0.0,0.0,0.0,-,100.0%
OP_2,Zone3,12.2,0.0,0.0,0.0,0.0,-,100.0%
OP_2,Zone4,0.4,0.0,0.0,0.0,0.0,-,100.0%
OP_3,Zone0,3404.5,0.0,0.0,0.0,0.0,-,100.0%
OP_3,Zone1,15.1,0.0,0.0,0.0,0.0,-,100.0%
OP_3,Zone2,15.5,0.0,0.0,0.0,0.0,-,100.0%
OP_3,Zone3,12.1,0.0,0.0,0.0,0.0,-,100.0%
OP_3,Zone4,12.0,0.0,0.0,0.0,0.0,-,100.0%
OP_4,Zone0,1807.5,0.0,0.0,0.0,0.0,-,100.0%
OP_4,Zone1,13.7,0.0,0.0,0.0,0.0,-,100.0%
OP_4,Zone2,13.5,0.0,0.0,0.0,0.0,-,100.0%
OP_4,Zone3,10.5,0.0,0.0,0.0,0.0,-,100.0%
OP_4,Zone4,9.3,0.0,0.0,0.0,0.0,-,100.0%
OP_5,Zone0,1929.8,0.0,0.0,0.0,0.0,-,100.0%
OP_5,Zone1,14.4,0.0,0.0,0.0,0.0,-,100.0%
OP_5,Zone2,14.0,0.0,0.0,0.0,0.0,-,100.0%
OP_5,Zone3,11.0,0.5,0.5,0.0,0.0,0.0,95.7%
OP_5,Zone4,4.8,0.5,0.5,0.0,0.0,0.0,90.6%
OP_6,Zone0,2370.8,0.0,0.0,0.0,0.0,-,100.0%
OP_6,Zone1,754.9,0.5,0.5,0.0,0.0,0.0,99.9%
OP_6,Zone2,415.5,0.5,0.5,0.0,0.0,0.0,99.9%
OP_6,Zone3,0.0,0.0,0.0,0.0,0.0,-,  -
OP_6,Zone4,0.0,0.0,0.0,0.0,0.0,-,  -
