date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
2020-01-01,2950110403.4945817,2801027529.1930046,149082874.30157697,2866309291.7529664,83801111.74161518,2718499214.7012033,82528314.49180119,147810077.05176297,1272797.2498139942
2040-01-01,3252753410.9915953,3025006819.6235585,227746591.36803725,3161681473.5935507,91071937.3980445,2935879272.1261363,89127547.49742207,225802201.46741483,1944389.9006224293
2060-01-01,3569358740.2511024,3244595115.626811,324763624.62429154,3470988659.9278946,98370080.3232083,3148997709.5641303,95597406.06268091,321990950.3637641,2772674.2605273887
2080-01-01,3899707149.5106745,3460642921.7557564,439064227.754918,3793995683.054861,105711466.45581344,3358679972.654443,101962949.1013137,435315710.4004182,3748517.354499741
2100-01-01,4242510453.9907775,3673190289.6456676,569320164.3451102,4129424517.968217,113085936.02256058,3564964932.9675612,108225356.67810637,564459585.0006559,4860579.344454203
2120-01-01,4595891582.163805,3881796095.669056,714095486.4947494,4475423349.65062,120468232.51318434,3767424463.959774,114371631.70928176,707998885.6908468,6096600.803902592
2140-01-01,4958056020.216461,4085993002.790522,872063017.425939,4830222764.504962,127833255.71149918,3965604998.020448,120388004.77007373,864617766.4845135,7445250.941425454
2160-01-01,5327855716.723956,4285551190.3349085,1042304526.3890476,5192689321.856236,135166394.8677206,4159283485.8155713,126267704.51933748,1033405836.0406644,8898690.348383125
2180-01-01,5705067814.7429,4480513386.085158,1224554428.6577413,5562601173.280897,142466641.4620017,4348501396.214394,132011989.87076503,1214099777.0665045,10454651.591236683
2200-01-01,6090377753.025138,4671114971.708723,1419262781.3164148,5940632979.973846,149744773.0512911,4533487175.696448,137627796.0122739,1407145804.2773976,12116977.039017184
