date,amount,phase,containment,zone,region
2020-01-01,7229864.473715222,total,total,all,all
2040-01-01,7878194.463479446,total,total,all,all
2060-01-01,8537813.307411997,total,total,all,all
2080-01-01,9216134.939518522,total,total,all,all
2100-01-01,9919898.190693906,total,total,all,all
2120-01-01,10654436.484033937,total,total,all,all
2140-01-01,11423315.52159485,total,total,all,all
2160-01-01,12228398.85973864,total,total,all,all
2180-01-01,13070172.109657573,total,total,all,all
2200-01-01,13948145.296562886,total,total,all,all
2020-01-01,309956.6115603535,aqueous,total,all,all
2040-01-01,337581.99281613296,aqueous,total,all,all
2060-01-01,365546.82095459657,aqueous,total,all,all
2080-01-01,394106.4499360594,aqueous,total,all,all
2100-01-01,423488.49398679123,aqueous,total,all,all
2120-01-01,453872.95781176304,aqueous,total,all,all
2140-01-01,485384.3897294526,aqueous,total,all,all
2160-01-01,518095.5097959609,aqueous,total,all,all
2180-01-01,552035.9173956946,aqueous,total,all,all
2200-01-01,587201.3830922933,aqueous,total,all,all
2020-01-01,6919907.862154869,gas,total,all,all
2040-01-01,7540612.470663313,gas,total,all,all
2060-01-01,8172266.486457401,gas,total,all,all
2080-01-01,8822028.489582464,gas,total,all,all
2100-01-01,9496409.696707113,gas,total,all,all
2120-01-01,10200563.526222175,gas,total,all,all
2140-01-01,10937931.131865399,gas,total,all,all
2160-01-01,11710303.34994268,gas,total,all,all
2180-01-01,12518136.192261878,gas,total,all,all
2200-01-01,13360943.91347059,gas,total,all,all
2020-01-01,7218429.448062233,total,contained,all,all
2040-01-01,7853483.466936858,total,contained,all,all
2060-01-01,8489370.78721345,total,contained,all,all
2080-01-01,9128979.72254503,total,contained,all,all
2100-01-01,9774610.18709758,total,contained,all,all
2120-01-01,10428068.974715244,total,contained,all,all
2140-01-01,11090859.709266288,total,contained,all,all
2160-01-01,11764301.232539106,total,contained,all,all
2180-01-01,12449466.335206846,total,contained,all,all
2200-01-01,13146993.275907729,total,contained,all,all
2020-01-01,309624.4608104413,aqueous,contained,all,all
2040-01-01,336864.2169920777,aqueous,contained,all,all
2060-01-01,364139.7164748204,aqueous,contained,all,all
2080-01-01,391574.84944335604,aqueous,contained,all,all
2100-01-01,419268.2675072454,aqueous,contained,all,all
2120-01-01,447297.47056779184,aqueous,contained,all,all
2140-01-01,475726.9544731327,aqueous,contained,all,all
2160-01-01,504613.2891018771,aqueous,contained,all,all
2180-01-01,534002.4903133094,aqueous,contained,all,all
2200-01-01,563921.9353212875,aqueous,contained,all,all
2020-01-01,6908804.987251791,gas,contained,all,all
2040-01-01,7516619.24994478,gas,contained,all,all
2060-01-01,8125231.07073863,gas,contained,all,all
2080-01-01,8737404.873101674,gas,contained,all,all
2100-01-01,9355341.919590333,gas,contained,all,all
2120-01-01,9980771.504147453,gas,contained,all,all
2140-01-01,10615132.754793156,gas,contained,all,all
2160-01-01,11259687.94343723,gas,contained,all,all
2180-01-01,11915463.844893536,gas,contained,all,all
2200-01-01,12583071.340586439,gas,contained,all,all
2020-01-01,0.0032515758186972693,total,hazardous,all,all
2040-01-01,0.018484232235212478,total,hazardous,all,all
2060-01-01,0.08616519284080382,total,hazardous,all,all
2080-01-01,0.34033882270418286,total,hazardous,all,all
2100-01-01,1.1689283402886224,total,hazardous,all,all
2120-01-01,3.564271128719654,total,hazardous,all,all
2140-01-01,9.812094407267649,total,hazardous,all,all
2160-01-01,24.725237490912434,total,hazardous,all,all
2180-01-01,57.68330298158767,total,hazardous,all,all
2200-01-01,125.78000376688136,total,hazardous,all,all
2020-01-01,0.0003160325714569936,aqueous,hazardous,all,all
2040-01-01,0.001796550279132926,aqueous,hazardous,all,all
2060-01-01,0.008374710903858598,aqueous,hazardous,all,all
2080-01-01,0.03307877758450716,aqueous,hazardous,all,all
2100-01-01,0.11361242973518464,aqueous,hazardous,all,all
2120-01-01,0.34642457472527616,aqueous,hazardous,all,all
2140-01-01,0.9536734186164418,aqueous,hazardous,all,all
2160-01-01,2.403136454394153,aqueous,hazardous,all,all
2180-01-01,5.606451636950515,aqueous,hazardous,all,all
2200-01-01,12.22501957350752,aqueous,hazardous,all,all
2020-01-01,0.0029355432472402757,gas,hazardous,all,all
2040-01-01,0.01668768195607955,gas,hazardous,all,all
2060-01-01,0.07779048193694522,gas,hazardous,all,all
2080-01-01,0.3072600451196757,gas,hazardous,all,all
2100-01-01,1.0553159105534378,gas,hazardous,all,all
2120-01-01,3.2178465539943777,gas,hazardous,all,all
2140-01-01,8.858420988651208,gas,hazardous,all,all
2160-01-01,22.32210103651828,gas,hazardous,all,all
2180-01-01,52.076851344637156,gas,hazardous,all,all
2200-01-01,113.55498419337384,gas,hazardous,all,all
2020-01-01,11435.022401414411,total,outside,all,all
2040-01-01,24710.978058355948,total,outside,all,all
2060-01-01,48442.434033353995,total,outside,all,all
2080-01-01,87154.87663467028,total,outside,all,all
2100-01-01,145286.8346679846,total,outside,all,all
2120-01-01,226363.94504756382,total,outside,all,all
2140-01-01,332446.00023415545,total,outside,all,all
2160-01-01,464072.9019620442,total,outside,all,all
2180-01-01,620648.0911477483,total,outside,all,all
2200-01-01,801026.2406513903,total,outside,all,all
2020-01-01,332.15043387962925,aqueous,outside,all,all
2040-01-01,717.7740275049832,aqueous,outside,all,all
2060-01-01,1407.096105065228,aqueous,outside,all,all
2080-01-01,2531.5674139257144,aqueous,outside,all,all
2100-01-01,4220.112867116034,aqueous,outside,all,all
2120-01-01,6575.140819396464,aqueous,outside,all,all
2140-01-01,9656.4815829013,aqueous,outside,all,all
2160-01-01,13479.817557629412,aqueous,outside,all,all
2180-01-01,18027.820630748352,aqueous,outside,all,all
2200-01-01,23267.22275143232,aqueous,outside,all,all
2020-01-01,11102.871967534782,gas,outside,all,all
2040-01-01,23993.204030850964,gas,outside,all,all
2060-01-01,47035.33792828877,gas,outside,all,all
2080-01-01,84623.30922074456,gas,outside,all,all
2100-01-01,141066.72180086857,gas,outside,all,all
2120-01-01,219788.80422816734,gas,outside,all,all
2140-01-01,322789.5186512541,gas,outside,all,all
2160-01-01,450593.08440441475,gas,outside,all,all
2180-01-01,602620.270517,gas,outside,all,all
2200-01-01,777759.017899958,gas,outside,all,all
2020-01-01,200710.82886890598,total,total,toptherys,all
2040-01-01,230020.18261674634,total,total,toptherys,all
2060-01-01,261828.72899163188,total,total,toptherys,all
2080-01-01,296263.79113160283,total,total,toptherys,all
2100-01-01,333472.38099064404,total,total,toptherys,all
2120-01-01,373584.4372178818,total,total,toptherys,all
2140-01-01,416700.5677508984,total,total,toptherys,all
2160-01-01,462907.0039278262,total,total,toptherys,all
2180-01-01,512286.92747715104,total,total,toptherys,all
2200-01-01,564914.9174748717,total,total,toptherys,all
2020-01-01,8609.21099450995,aqueous,total,toptherys,all
2040-01-01,9866.394834315115,aqueous,total,toptherys,all
2060-01-01,11230.778055256855,aqueous,total,toptherys,all
2080-01-01,12707.822005714072,aqueous,total,toptherys,all
2100-01-01,14303.832558357926,aqueous,total,toptherys,all
2120-01-01,16024.383250266486,aqueous,total,toptherys,all
2140-01-01,17873.78951856514,aqueous,total,toptherys,all
2160-01-01,19855.750136202525,aqueous,total,toptherys,all
2180-01-01,21973.833067375992,aqueous,total,toptherys,all
2200-01-01,24231.237277505912,aqueous,total,toptherys,all
2020-01-01,192101.61787439603,gas,total,toptherys,all
2040-01-01,220153.78778243123,gas,total,toptherys,all
2060-01-01,250597.95093637504,gas,total,toptherys,all
2080-01-01,283555.9691258888,gas,total,toptherys,all
2100-01-01,319168.54843228613,gas,total,toptherys,all
2120-01-01,357560.0539676153,gas,total,toptherys,all
2140-01-01,398826.7782323333,gas,total,toptherys,all
2160-01-01,443051.25379162363,gas,total,toptherys,all
2180-01-01,490313.09440977505,gas,total,toptherys,all
2200-01-01,540683.6801973658,gas,total,toptherys,all
2020-01-01,200710.82886890598,total,contained,toptherys,all
2040-01-01,230020.18261674634,total,contained,toptherys,all
2060-01-01,261828.72899163188,total,contained,toptherys,all
2080-01-01,296263.79113160283,total,contained,toptherys,all
2100-01-01,333472.38099064404,total,contained,toptherys,all
2120-01-01,373584.4372178818,total,contained,toptherys,all
2140-01-01,416700.5677508984,total,contained,toptherys,all
2160-01-01,462907.0039278262,total,contained,toptherys,all
2180-01-01,512286.9274771509,total,contained,toptherys,all
2200-01-01,564914.917474871,total,contained,toptherys,all
2020-01-01,8609.21099450995,aqueous,contained,toptherys,all
2040-01-01,9866.394834315115,aqueous,contained,toptherys,all
2060-01-01,11230.778055256855,aqueous,contained,toptherys,all
2080-01-01,12707.822005714072,aqueous,contained,toptherys,all
2100-01-01,14303.832558357926,aqueous,contained,toptherys,all
2120-01-01,16024.383250266486,aqueous,contained,toptherys,all
2140-01-01,17873.78951856514,aqueous,contained,toptherys,all
2160-01-01,19855.750136202525,aqueous,contained,toptherys,all
2180-01-01,21973.83306737599,aqueous,contained,toptherys,all
2200-01-01,24231.237277505894,aqueous,contained,toptherys,all
2020-01-01,192101.61787439603,gas,contained,toptherys,all
2040-01-01,220153.78778243123,gas,contained,toptherys,all
2060-01-01,250597.95093637504,gas,contained,toptherys,all
2080-01-01,283555.9691258888,gas,contained,toptherys,all
2100-01-01,319168.54843228613,gas,contained,toptherys,all
2120-01-01,357560.0539676153,gas,contained,toptherys,all
2140-01-01,398826.7782323333,gas,contained,toptherys,all
2160-01-01,443051.25379162363,gas,contained,toptherys,all
2180-01-01,490313.09440977493,gas,contained,toptherys,all
2200-01-01,540683.6801973651,gas,contained,toptherys,all
2020-01-01,0.0,total,hazardous,toptherys,all
2040-01-01,0.0,total,hazardous,toptherys,all
2060-01-01,0.0,total,hazardous,toptherys,all
2080-01-01,0.0,total,hazardous,toptherys,all
2100-01-01,0.0,total,hazardous,toptherys,all
2120-01-01,0.0,total,hazardous,toptherys,all
2140-01-01,0.0,total,hazardous,toptherys,all
2160-01-01,0.0,total,hazardous,toptherys,all
2180-01-01,0.0,total,hazardous,toptherys,all
2200-01-01,0.0,total,hazardous,toptherys,all
2020-01-01,0.0,aqueous,hazardous,toptherys,all
2040-01-01,0.0,aqueous,hazardous,toptherys,all
2060-01-01,0.0,aqueous,hazardous,toptherys,all
2080-01-01,0.0,aqueous,hazardous,toptherys,all
2100-01-01,0.0,aqueous,hazardous,toptherys,all
2120-01-01,0.0,aqueous,hazardous,toptherys,all
2140-01-01,0.0,aqueous,hazardous,toptherys,all
2160-01-01,0.0,aqueous,hazardous,toptherys,all
2180-01-01,0.0,aqueous,hazardous,toptherys,all
2200-01-01,0.0,aqueous,hazardous,toptherys,all
2020-01-01,0.0,gas,hazardous,toptherys,all
2040-01-01,0.0,gas,hazardous,toptherys,all
2060-01-01,0.0,gas,hazardous,toptherys,all
2080-01-01,0.0,gas,hazardous,toptherys,all
2100-01-01,0.0,gas,hazardous,toptherys,all
2120-01-01,0.0,gas,hazardous,toptherys,all
2140-01-01,0.0,gas,hazardous,toptherys,all
2160-01-01,0.0,gas,hazardous,toptherys,all
2180-01-01,0.0,gas,hazardous,toptherys,all
2200-01-01,0.0,gas,hazardous,toptherys,all
