PROPERTY,ZONE,FACIES,Avg,Avg_Weighted,Count,Max,Min,P10,P90,Stddev,ID,SOURCE
PERM,Therys,Calcite,0.0010000000474974513,0.0010000000474974513,18106,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0010000000474974513,0.0,Geogrid,Geogrid
PORO,Therys,Calcite,0.0,0.0,18106,0.0,0.0,0.0,0.0,0.0,Geogrid,Geogrid
SW,Therys,Calcite,1.0,,18106,1.0,1.0,1.0,1.0,0.0,Geogrid,Geogrid
PERM,Therys,Lowershoreface,30.287092208862305,30.400461196899414,41129,150.0,5.0,14.023250579833984,50.85344314575195,15.640220642089844,Geogrid,Geogrid
PORO,Therys,Lowershoreface,0.25427788496017456,0.2546682357788086,41129,0.30000001192092896,0.20000000298023224,0.2306847721338272,0.2786089777946472,0.01793232560157776,Geogrid,Geogrid
SW,Therys,Lowershoreface,0.910777747631073,,41129,1.0,0.24922338128089905,0.414984792470932,1.0,0.21607623994350433,Geogrid,Geogrid
PERM,Therys,Offshore,1.7449082136154175,1.7617466449737549,66711,5.253446578979492,0.22845184803009033,1.0699670314788818,2.489234685897827,0.5760365724563599,Geogrid,Geogrid
PORO,Therys,Offshore,0.10314000397920609,0.10659892857074738,66711,0.1899999976158142,0.019999999552965164,0.06581127643585205,0.13875921070575714,0.028141222894191742,Geogrid,Geogrid
SW,Therys,Offshore,0.9870299100875854,,66711,1.0,0.6775602102279663,1.0,1.0,0.0485495962202549,Geogrid,Geogrid
PERM,Therys,Uppershoreface,1363.1529541015625,1357.4364013671875,61406,2500.0,500.0,798.5538940429688,2024.9525146484375,463.741455078125,Geogrid,Geogrid
PORO,Therys,Uppershoreface,0.3372262716293335,0.3364577293395996,61406,0.3876710534095764,0.2834329903125763,0.3191933333873749,0.3552296459674835,0.013796821236610413,Geogrid,Geogrid
SW,Therys,Uppershoreface,0.8952896595001221,,61406,1.0,0.030871238559484482,0.15346285700798035,1.0,0.29129305481910706,Geogrid,Geogrid
