ENSEMBLE,REAL,INTERPOLATE_RELPERM:INTERPOLATE_GO,INTERPOLATE_RELPERM:INTERPOLATE_WO,LOG10_MULTFLT:MULTFLT_F1,LOG10_MULTFLT:MULTFLT_F2,LOG10_MULTFLT:MULTFLT_F3,LOG10_MULTFLT:MULTFLT_F4,LOG10_MULTFLT:MULTFLT_F5,LOG10_MULTZ:MULTZ_MIDREEK,MULTFLT:MULTFLT_F1,MULTFLT:MULTFLT_F2,MULTFLT:MULTFLT_F3,MULTFLT:MULTFLT_F4,MULTFLT:MULTFLT_F5,MULTZ:MULTZ_MIDREEK,RMSGLOBPARAMS:COHIBA_MODEL_MODE,RMSGLOBPARAMS:FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
iter-0,7,-0.68878,-0.922789,-0.13485,-2.28283,-1.80368,-2.40299,-3.09993,-9.11961,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84,-0.68878,-0.922789,0.733078,0.00521396,0.0157151,0.00395379,0.00079445,7.59263e-10,1,1709.84
iter-0,6,-0.977712,-0.320676,-1.53861,-1.83894,-0.174555,-3.18943,-2.5808,-8.97556,0.0289326,0.0144896,0.669029,0.000646499,0.00262542,1.05788e-09,1,1712.51,-0.977712,-0.320676,0.0289326,0.0144896,0.669029,0.000646499,0.00262542,1.05788e-09,1,1712.51
iter-0,9,-0.309242,-0.633242,-0.369589,-2.30875,-1.45748,-2.01434,-1.96,-0.392913,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88,-0.309242,-0.633242,0.426984,0.00491196,0.0348753,0.00967516,0.0109647,0.404657,1,1709.88
iter-0,5,-0.239558,-0.549917,-1.45374,-4.43951,-1.99547,-3.42652,-4.38718,-0.583385,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96,-0.239558,-0.549917,0.0351775,3.6349e-05,0.0101048,0.000374524,4.10038e-05,0.260985,1,1707.96
iter-0,1,0.478716,-0.0439124,-1.86374,-3.31795,-0.897679,-0.387685,-3.06589,-5.64196,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8,0.478716,-0.0439124,0.0136856,0.0004809,0.126567,0.409557,0.000859223,2.28058e-06,1,1704.8
iter-0,2,0.745325,0.652839,-0.921186,-2.3249,-1.89277,-2.7666,-0.669218,-0.527615,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84,0.745325,0.652839,0.119899,0.00473258,0.0128005,0.00171159,0.214182,0.296746,1,1702.84
iter-0,4,0.588676,-0.0409747,-1.78301,-2.62143,-1.90978,-1.5776,-1.13189,-9.64548,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85,0.588676,-0.0409747,0.0164811,0.00239094,0.012309,0.0264486,0.0738097,2.26214e-10,1,1714.85
iter-0,3,-0.307419,0.306254,-0.102147,-4.56349,-0.53127,-0.549943,-3.07068,-5.22893,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51,-0.307419,0.306254,0.79041,2.73217e-05,0.294259,0.281875,0.000849807,5.90293e-06,1,1697.51
iter-0,8,-0.871574,-0.967636,-1.44246,-0.900512,-0.0619956,-4.3001,-3.57966,-3.36088,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18,-0.871574,-0.967636,0.0361029,0.125744,0.866971,5.01075e-05,0.000263233,0.00043563,1,1707.18
iter-0,0,0.842532,-0.0558888,-0.0281363,-0.380878,-0.00315345,-3.50737,-2.52688,-3.89672,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13,0.842532,-0.0558888,0.937268,0.416028,0.992765,0.000310908,0.00297247,0.000126847,1,1706.13
