date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,1883742663.4364204,1815824246.75565,67827159.99937923,91256.68139133565,1729507479.4153974,154235184.02102315,1661834525.0888603,153989721.66678983,67588134.51346314,239025.48591609587,84819.81307410785,6436.86831722779
2040-01-01,2128717771.4416158,2007508582.176139,120951697.65309899,257491.6123779341,1958027991.2769053,170689780.16471064,1837263202.7759404,170245379.40019864,120525459.28038555,426238.37271342764,239329.22057935628,18162.391798577813
2060-01-01,2391343980.7116237,2194584868.498756,196112681.49108526,646430.7217823985,2204497020.922794,186846959.78882974,2008474613.7876635,186110254.71109265,195421572.9589258,691108.5321594508,600834.1762047629,45596.545577635676
2080-01-01,2668669491.6071606,2373712354.920289,293486495.4529434,1470641.2339275996,2466230463.5840726,202439028.02308798,2172411317.38635,201301037.53393894,292452237.90499216,1034257.5479512026,1366908.2927297605,103732.941197839
2100-01-01,2957081455.1234307,2542850289.997418,411155502.6047281,3075662.5212844624,2739770919.682467,217310535.44096377,2327205626.6459703,215644663.35144764,409706575.00997,1448927.5947580764,2858718.026526399,216944.49475806364
2120-01-01,3253247375.0617323,2701222532.4708047,546044885.7701776,5979956.820750314,3021825978.736671,231421396.3250621,2472147220.4308643,229075312.03994045,544120602.8700176,1924282.9001599108,5558155.435788571,421801.3849617432
2140-01-01,3554720118.1839566,2849021491.033886,694793701.4838388,10904925.666231468,3309893149.838347,244826968.3456092,2607412190.348054,241609300.6858322,692345222.1120039,2448479.3718347833,10135737.378289254,769188.2879422131
2160-01-01,3860166743.4822946,2987086912.461138,854297811.4806368,18782019.540520243,3602513516.276303,257653227.20599213,2733769069.0265365,253317843.43460163,851287233.571904,3010577.908732805,17457213.677862536,1324805.8626577077
2180-01-01,4169323360.6266875,3116646424.531534,1021953364.1085075,30723571.986645605,3899249796.265426,270073564.36126137,2852341376.1189995,264305048.4125348,1018351961.669693,3601402.4388144882,28556458.47673352,2167113.509912086
2200-01-01,4482802529.143365,3239127375.452816,1195726551.5316484,47948602.15890018,4200514686.7066507,282287842.43671453,2964435414.553817,274691960.8989997,1191512765.785566,4213785.746082332,44566506.367267676,3382095.791632504
