date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,7176162.527376842,6917425.701926287,258389.18095001622,347.64450053842154,6588599.921582466,587562.6057943739,6330798.190814706,586627.5111115802,257478.60767033586,910.5732796803655,323.1230974251728,24.521403113248724
2040-01-01,8109401.034063301,7647651.741623387,460768.37201180565,980.9204281064157,7459154.25248345,650246.78157985,6999097.915336916,648553.826286471,459144.6067824211,1623.7652293844862,911.7303641118335,69.19006399458213
2060-01-01,9109881.831282377,8360323.308566693,747095.9294898487,2462.5932258377084,8398083.889229694,711797.942052685,7651331.862048245,708991.4465184484,744463.1350816223,2632.7944082264794,2288.8920998276676,173.70112601004064
2080-01-01,10166359.96802728,9042713.733029675,1118043.7922016894,5602.442795914666,9395163.670796467,771196.2972308116,8275852.637662288,766861.0953673866,1114103.7634475897,3940.02875409982,5207.269686589565,395.173109325101
2100-01-01,11265072.209994024,9687048.723799689,1566306.6765894408,11716.80960489319,10437222.551171303,827849.6588227192,8865545.2443656,821503.4794340864,1560786.9524189339,5519.724170506959,10890.354386767232,826.4552181259565
2120-01-01,12393323.333568506,10290371.552269734,2080170.9934102015,22780.78788857262,11511718.014234938,881605.31933357,9417703.696879484,872667.8553902493,2072840.3918857828,7330.601524418712,21173.92546967074,1606.8624189018785
2140-01-01,13541790.926415075,10853415.203938616,2646833.1485098633,41542.57396659607,12609116.761288943,932674.1651261305,9932998.82037354,920416.3835650752,2637505.6080457307,9327.540464132513,38612.33286967335,2930.2410969227167
2160-01-01,14705397.118027791,11379378.714137668,3254467.853259569,71550.55063055332,13723861.014385916,981536.1036418747,10414358.358196327,965020.3559413396,3242998.9850358255,11468.868223744019,66503.67115376206,5046.87947679127
2180-01-01,15883136.611911193,11872938.760120135,3893155.672794314,117042.17899674518,14854284.938154005,1028851.6737571866,10866062.38521524,1006876.3749048947,3879436.0444559734,13719.628338340906,108786.50848279438,8255.670513950805
2200-01-01,17077342.968165196,12339532.85886787,4555148.767739612,182661.34155771497,16001960.711263428,1075382.2569017697,11293087.293538349,1046445.5653295227,4539096.250611679,16052.517127932688,169777.16711340068,12884.174444314303
